value,i94prtl_city
ALC,Alcan
ANC,Anchorage
BAR,Baker Aaf - Baker Island
DAC,Daltons Cache
PIZ,Dew Station Pt Lay Dew
DTH,Dutch Harbor
EGL,Eagle
FRB,Fairbanks
HOM,Homer
HYD,Hyder
JUN,Juneau
5KE,Ketchikan
KET,Ketchikan
MOS,Moses Point Intermediate
NIK,Nikiski
NOM,Nom
PKC,Poker Creek
ORI,Port Lions Spb
SKA,Skagway
SNP,St. Paul Island
TKI,Tokeen
WRA,Wrangell
HSV,Madison County - Huntsville
MOB,Mobile
LIA,Little Rock
ROG,Rogers Arpt
DOU,Douglas
LUK,Lukeville
MAP,Mariposa Az           
NAC,Naco
NOG,Nogales
PHO,Phoenix
POR,Portal
SLU,San Luis
SAS,Sasabe
TUC,Tucson
YUI,Yuma
AND,Andrade
BUR,Burbank
CAL,Calexico
CAO,Campo
FRE,Fresno
ICP,Imperial County
LNB,Long Beach
LOS,Los Angeles
BFL,Meadows Field - Bakersfield
OAK,Oakland
ONT,Ontario
OTM,Otay Mesa
BLT,Pacific
PSP,Palm Springs
SAC,Sacramento
SLS,Salinas
SDP,San Diego
SFR,San Francisco
SNJ,San Jose
SLO,San Luis Obispo
SLI,San Luis Obispo
SPC,San Pedro
SYS,San Ysidro
SAA,Santa Ana
STO,Stockton
TEC,Tecate
TRV,Travis-afb
APA,Arapahoe County
ASE,Aspen
COS,Colorado Springs
DEN,Denver
DRO,La Plata - Durango
BDL,Bradley International
BGC,Bridgeport
GRT,Groton
HAR,Hartford
NWH,New Haven
NWL,New London
TST,Newington Data Center Test
WAS,Washington Dc         
DOV,Dover Afb
DVD,Dover-afb
WLL,Wilmington
BOC,Bocagrande
SRQ,Bradenton - Sarasota
CAN,Cape Canaveral
DAB,Daytona Beach International
FRN,Fernandina
FTL,Fort Lauderdale
FMY,Fort Myers
FPF,Fort Pierce
HUR,Hurlburt Field
GNV,J R Alison Muni - Gainesville
JAC,Jacksonville
KEY,Key West
LEE,Leesburg Municipal Airport
MLB,Melbourne
MIA,Miami
APF,Naples
OPF,Opa Locka
ORL,Orlando
PAN,Panama City
PEN,Pensacola
PCF,Port Canaveral
PEV,Port Everglades
PSJ,Port St Joe
SFB,Sanford
SGJ,St Augustine Arpt
SAU,St Augustine
