value,i94prtl_state
ALC,AK
ANC,AK
BAR,AK
DAC,AK
PIZ,AK
DTH,AK
EGL,AK
FRB,AK
HOM,AK
HYD,AK
JUN,AK
5KE,AK
KET,AK
MOS,AK
NIK,AK
NOM,AK
PKC,AK
ORI,AK
SKA,AK
SNP,AK
TKI,AK
WRA,AK
HSV,AL
MOB,AL
LIA,(BPS)
ROG,AR
DOU,AZ
LUK,AZ
MAP,AZ
NAC,AZ
NOG,AZ
PHO,AZ
POR,AZ
SLU,AZ
SAS,AZ
TUC,AZ
YUI,AZ
AND,CA
BUR,CA
CAL,CA
CAO,CA
FRE,CA
ICP,CA
LNB,CA
LOS,CA
BFL,CA
OAK,CA
ONT,CA
OTM,CA
BLT,CA
PSP,CA
SAC,CA
SLS,(BPS)
SDP,CA
SFR,CA
SNJ,CA
SLO,CA
SLI,(BPS)
SPC,CA
SYS,CA
SAA,CA
STO,(BPS)
TEC,CA
TRV,CA
APA,CO
ASE,#ARPT
COS,CO
DEN,CO
DRO,CO
BDL,CT
BGC,CT
GRT,CT
HAR,CT
NWH,CT
NWL,CT
TST,CT
WAS,DC
DOV,DE
DVD,DE
WLL,DE
BOC,FL
SRQ,FL
CAN,FL
DAB,FL
FRN,FL
FTL,FL
FMY,FL
FPF,FL
HUR,FL
GNV,FL
JAC,FL
KEY,FL
LEE,FL
MLB,FL
MIA,FL
APF,#ARPT
OPF,FL
ORL,FL
PAN,FL
PEN,FL
PCF,FL
PEV,FL
PSJ,FL
SFB,FL
SGJ,FL
SAU,FL
FPR,FL
SPE,FL
TAM,FL
WPB,FL
ATL,GA
BRU,GA
AGS,GA
SAV,GA
AGA,GU
HHW,HI
OGG,HI
KOA,HI
LIH,HI
CID,IA
DSM,IA
BOI,ID
EPI,ID
IDA,ID
PTL,ID
SPI,IL
CHI,IL
DPA,IL
PIA,IL
RFD,IL
UGN,IL
GAR,IN
HMM,IN
INP,IN
MRL,IN
SBN,IN
ICT,KS
LEX,KY
LOU,KY
BTN,LA
LKC,LA
LAK,(BPS)
MLU,LA
MGC,LA
NOL,LA
BOS,MA
GLO,MA
BED,MA
LYN,WA
ADW,MD
BAL,MD
MKG,MD
PAX,MD
BGM,ME
BOO,ME
BWM,ME
BCK,ME
CLS,ME
CRB,ME
COB,ME
EST,ME
EPT,ME
EPM,ME
FOR,ME
FTF,ME
FTK,ME
HML,ME
HTM,ME
JKM,ME
KAL,MT
LIM,ME
LUB,ME
MAD,ME
POM,ME
RGM,(BPS)
SBR,ME
SRL,ME
SPA,ME
VNB,ME
VCB,ME
AGN,MI
ALP,MI
BCY,MI
DET,MI
GRP,MI
GRO,MI
ISL,MI
MRC,MI
MRY,MI
PTK,MI
PHU,MI
RBT,MI
SAG,MI
SSM,MI
SCL,MI
YIP,MI
BAU,MN
CAR,MN
GTF,MN
INL,MN
CRA,MN
MIC,MN
DUL,MN
ELY,MN
GPM,MN
SVC,MN
INT,MN
LAN,MN
MSP,MN
LIN,MN
NOY,MN
PIN,MN
48Y,MN
RAN,MN
RST,MN
ROS,MN
SPM,MN
WSB,MN
WAR,MN
KAN,MO
SGF,MO
STL,MO
WHI,MT
WHM,MT
GPT,MS
GTR,MS
GUL,MS
PAS,MS
JAN,MS
BIL,MT
BTM,MT
CHF,MT
